source,author,title,description,url,urlToImage,publishedAt,content,category,country
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Bloomberg,Reliance targeting Jio Financial listing as soon as October: Report - The Economic Times,"The conglomerate, controlled by billionaire Mukesh Ambani, is in talks with Indian regulators to secure the necessary approvals for the market debut of Jio Financial Services Ltd. in Mumbai, one of the people said, asking not to be identified as the informatiâ€¦",https://economictimes.indiatimes.com/markets/ipos/fpos/reliance-targeting-jio-financial-listing-as-soon-as-october-report/articleshow/99848747.cms,"https://img.etimg.com/thumb/msid-99848711,width-1070,height-580,imgsize-16580,overlay-etmarkets/photo.jpg",2023-04-28T13:07:00Z,"Reliance Industries Ltd. is planning to list its digital financial services unit as soon as October, according to people familiar with the matter.The conglomerate, controlled by billionaire Mukesh Amâ€¦ [+1627 chars]",business,in
"{'id': None, 'name': 'Bqprime.com'}",Jaspreet Kalra,"SBI Card Q4 Results: Profit Rises; Impairment Losses, Bad Debt Expenses Jump 60% - BQ Prime",SBI Cards and Payment Services' Q4 net profit rose 3% year-on-year to Rs 596 crore.,https://www.bqprime.com/business/sbi-cards-q4-results-profit-rises-impairment-losses-bad-debt-expenses-jump-60,https://gumlet.assettype.com/bloombergquint%2F2022-08%2F707c814b-fe38-4d00-b177-e26163cd5392%2Fcard_payments.jpg?rect=0%2C681%2C8256%2C4334&w=1200&auto=format%2Ccompress&ogImage=true,2023-04-28T13:04:41Z,"SBI Cards and Payments Services Ltd. saw muted growth in its net profit in the final quarter of FY23.
The pure-play credit card issuing firm's net profit rose 3% year-on-year during the quarter to Râ€¦ [+1062 chars]",business,in
"{'id': None, 'name': 'BusinessLine'}",BusinessLine,"MRPL net profit declines 10.7 per cent to â‚¹2,638 cr in FY â€˜23 - BusinessLine",,https://www.thehindubusinessline.com/companies/mrpl-net-profit-declines-107-per-cent-to-2638-cr-in-fy-23/article66789298.ece,,2023-04-28T12:32:21Z,,business,in
"{'id': None, 'name': 'Livemint'}",Livemint,"M&M Finance Q4: Net profit up 7.8% to â‚¹684.1 cr, dividend declared | Mint - Mint","The board has recommended a dividend of  â‚¹6 per share on equity share of  â‚¹2 each, i.e. 300%, subject to the approval of the members",https://www.livemint.com/companies/news/mm-finance-q4-net-profit-up-7-8-to-rs-684-1-cr-dividend-declared-11682683708702.html,https://www.livemint.com/lm-img/img/2023/04/28/600x338/mahindrafinance_1682684816318_1682684816602.jpg,2023-04-28T12:29:11Z,"NBFC Mahindra and Mahindra Finance on Friday reported 7.8 per cent rise in net profit at 684.1 crore for the quarter ended 31 march, 2023. This is against a net profit of 600.60 crore in the correspoâ€¦ [+1466 chars]",business,in
"{'id': None, 'name': 'Livemint'}",Vipul Das,Bank of Maharashtra declares record date for dividend: Details inside | Mint - Mint,The shares of Bank of Maharashtra closed today on the NSE at an upside gap of 1.52% after the PSU lender declared record date for dividend.,https://www.livemint.com/market/stock-market-news/bank-of-maharashtra-declares-record-date-for-dividend-details-inside-11682684342496.html,https://www.livemint.com/lm-img/img/2023/04/28/600x338/Bank_of_maharashtra_HO_building_1671719355963_1682684369557.jpeg,2023-04-28T12:20:45Z,The shares of Bank of Maharashtra closed today on the NSE at an upside gap of 1.52% after the PSU lender declared record date for dividend. This is to inform that the Board of Directors of the Bank iâ€¦ [+3342 chars],business,in
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,India's forex reserves ease from over nine-month highs - Times of India,"India Business News: India's foreign exchange reserves eased from over-nine-month highs and stood at $584.25 billion for the week ended April 21, the Reserve Bank of India",https://timesofindia.indiatimes.com/business/india-business/indias-forex-reserves-ease-from-over-nine-month-highs/articleshow/99846952.cms,"https://static.toiimg.com/thumb/msid-99846950,width-1070,height-580,imgsize-692914,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2023-04-28T12:04:00Z,"FD Calculator
When investing in a fixed deposit, the amount you deposit earns interest as per the prevailing...
Calculate Now",business,in
"{'id': None, 'name': 'Moneycontrol'}",Sunil Shankar Matkar,"Technical View | Momentum strong but further rally possible if Nifty holds 18,000, India VIX at 40-month... - Moneycontrol","Hence, if the momentum continues and the Nifty50 holds psychological 18,000 mark, then 18,200-18,300 are expected to be next resistance levels to watch, with supports which shifted higher to 17,900 followed by 17,800 levels, experts said.",https://www.moneycontrol.com/news/business/markets/technical-view-momentum-strong-but-further-rally-possible-if-nifty-holds-18000-india-vix-at-40-month-low-10496091.html,https://images.moneycontrol.com/static-mcnews/2023/03/stocks_sensex_nifty_stockmarket5-770x433.jpg,2023-04-28T11:38:30Z,"The Nifty50 remained in a strong momentum after bottoming out at 17,550 and continued its upward journey throughout the week ended April 28 to end above a three-month high. In fact, it was a great beâ€¦ [+4272 chars]",business,in
"{'id': None, 'name': 'GaadiWaadi.com'}",Surendhar M,"4 Upcoming Hyundai Creta Rivals In 2023 - Citroen, Honda, Tata - GaadiWaadi.com",Citroen C3 Aircross and Honda midsize SUV are confirmed to launch later this calendar year in India to take on the likes of Hyundai Creta,https://gaadiwaadi.com/4-upcoming-hyundai-creta-rivals-in-2023-citroen-honda-tata/,https://gaadiwaadi.com/wp-content/uploads/2023/04/Honda-midsize-suv.jpg,2023-04-28T11:26:01Z,The Hyundai Creta has been the undisputed leader in the midsize SUV segment in India. The highly competitive space will see the arrival of new models thick and fast this year and here we have mentionâ€¦ [+2137 chars],business,in
"{'id': None, 'name': 'DAWN.com'}",Reuters,Oil heads for another monthly decline as weak US data weighs - DAWN.com,US economic growth slowed more than expected in the first quarter.,https://www.dawn.com,https://i.dawn.com/large/2023/04/281605037f4803a.jpg?r=160513,2023-04-28T11:12:22Z,"Oil prices were heading for another monthly decline on Friday after disappointing US economic data and uncertainty over further interest rate hikes weighed on the demand outlook.
Brent crude futuresâ€¦ [+1642 chars]",business,in
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Navdeep Singh,"Star Health Q4 Results: Profit at Rs 619 crore, gross written premium grows 13% YoY - The Economic Times","The operating expense to GWP ratio was at a healthy 15.9% in FY23 versus 16.0% in FY22. At 2.14x, the company registered a robust solvency ratio for the year, higher than the minimum regulatory requirement of 1.5x, Star Health said.",https://economictimes.indiatimes.com/markets/stocks/earnings/star-health-q4-results-profit-at-rs-619-crore-gross-written-premium-grows-13-yoy/articleshow/99844673.cms,"https://img.etimg.com/thumb/msid-99844708,width-1070,height-580,imgsize-13818,overlay-etmarkets/photo.jpg",2023-04-28T11:04:00Z,"Star Health and Allied Insurance on Friday reported a profit after tax (PAT) of Rs 619 crore, for the fourth quarter ended March 2023. In the same quarter of last year, it posted a loss of Rs 1,041 câ€¦ [+2031 chars]",business,in
"{'id': None, 'name': 'Team-BHP'}",Tushar Kelshikar,Royal Enfield 450cc roadster spied; to rival KTM 390 Duke - Team-BHP,"Royal Enfield is working on a new 450cc model that is touted to take on the likes of the KTM 390 Duke and the upcoming Bajaj-Triumph bike. We have seen spy images of the 450cc roadster before, but the latest images showcase a more close-to-production test mulâ€¦",https://www.team-bhp.com/news/royal-enfield-450cc-roadster-spied-rival-ktm-390-duke,https://www.team-bhp.com/sites/default/files/styles/large/public/20230428115719_RE 450 lead.jpg,2023-04-28T10:54:45Z,"Royal Enfield is working on a new 450cc model that is touted to take on the likes of the KTM 390 Duke and the upcoming Bajaj-Triumph bike. We have seen spy images of the 450cc roadster before, but thâ€¦ [+689 chars]",business,in
"{'id': None, 'name': 'FXStreet'}",Haresh Menghani,Gold Price Forecast: XAU/USD trades with modest losses ahead of US PCE Price Index - FXStreet,"Gold price edges lower for the third successive day on Friday, albeit lacks follow-through selling and remains confined in a familiar trading range he",https://www.fxstreet.com/news/gold-price-forecast-xau-usd-trades-with-modest-losses-ahead-of-us-pce-price-index-202304281039,https://editorial.fxstreet.com/images/Markets/Commodities/Metals/Gold/stack-of-golden-bars-in-the-bank-vault-60756080_Large.jpg,2023-04-28T10:39:40Z,<ul><li>Gold price remains on the defensive for the third straight day amid a stronger US Dollar.</li><li>Reviving safe-haven demand lends some support to the XAU/USD and helps limit losses.</li><li>â€¦ [+3754 chars],business,in
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Now,PI Industries' foray into pharma to help it replicate agrochem success: Rohan Gupta - The Economic Times,"PI Industries' foray into the pharma industry through two acquisitions will diversify its business and reduce its dependency on agro. The access to CDMO business of pharma will give the company access to global markets in the US, India, and Italy. The deal, vâ€¦",https://economictimes.indiatimes.com/markets/expert-view/pi-industries-foray-into-pharma-to-help-it-replicate-agrochem-success-rohan-gupta/articleshow/99843654.cms,"https://img.etimg.com/thumb/msid-99843743,width-1070,height-580,imgsize-19484,overlay-etmarkets/photo.jpg",2023-04-28T10:38:00Z,"Rohan Gupta, Director, Equity Research, Nuvama, says PI Industries' foray into pharma through these two acquisitions is going to help the company in terms of replicating their success stories of whatâ€¦ [+4507 chars]",business,in
"{'id': None, 'name': 'CNBCTV18'}",Asmita Pant,"Stock Market Highlights: Nifty 50 reclaims 18,000 mark as last-hour surge help indices end at 2-month high - CNBCTV18",Share Market Highlights: Indian equity benchmarks BSE Sensex and NSE Nifty 50 surged on the last trading day of the week after opening with minor gains earlier in the day. Today was the first trading day of the May F&O series. The indices saw the best F&O serâ€¦,https://www.cnbctv18.com/market/share-market-live-updates-nifty-sensex-bse-nse-stock-market-today-ultratech-cement-axis-bank-techm-wipro-16521941.htm,https://images.cnbctv18.com/wp-content/uploads/2023/04/Gainers-1.png,2023-04-28T10:28:36Z,"Nifty 50 Update | Index near 17,900
The index is trading marginally lower from its previous close at 17,907.6. Adani twins, Wipro and Apollo Hospitals are top index gainers, up 2.7 to 3.6 percent. Oâ€¦ [+124 chars]",business,in
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Navdeep Singh,"Sensex rises for 7th day, up 463 points; investors gain Rs 2.66 lakh crore - Economic Times","From the Sensex pack, Wipro, Nestle, ITC, and L&% were the top gainers, rising over 2% each. SBI, Tech Mahindra, Reliance, Bharti Airtel, and Kotak Bank also ended higher.",https://economictimes.indiatimes.com/markets/stocks/news/fag-end-buying-drives-sensex-463-pts-higher-nifty-above-18000/articleshow/99843398.cms,"https://img.etimg.com/thumb/msid-99843473,width-1070,height-580,imgsize-20120,overlay-etmarkets/photo.jpg",2023-04-28T10:28:00Z,"Tracking gains from global markets in a strong earnings season, Nifty closed higher for the fifth straight day on Friday to end above the 18,000 mark. Sensex ended 463 points higher, well above the 6â€¦ [+3412 chars]",business,in
"{'id': None, 'name': 'Livemint'}",Dhanya Nagasundaram,Maruti Suzuki Q4FY23 profit jumps 42% YoY; here's what brokerages say | Mint - Mint,Following Q4FY23 earnings four brokerages have maintained 'buy' rating for the Maruti Suzuki stock. Let's look at what the brokerages are saying about automakers March quarter earnings.,https://www.livemint.com/market/stock-market-news/maruti-suzuki-q4fy23-profit-jumps-42-yoy-heres-what-brokerages-say-11682591294235.html,https://www.livemint.com/lm-img/img/2023/04/27/600x338/2-0-328265920-maruti1-0_1680796478703_1682597254126.jpg,2023-04-28T09:50:40Z,"Maruti Suzuki India Ltd, the biggest automaker in India, reported a consolidated net profit of 2,670.8 crore for quarter ended March of the financial year 202223 (Q4FY23), a 42.4% year-on-year (YoY) â€¦ [+5105 chars]",business,in
